2M08521208+1201469,133.05034,12.02971,99.999,9.999,16.345,0.006,15.466,0.004,99.999,9.999,14.492,0.019,17.779,0.007,15.940,0.001,15.250,0.001,14.983,0.001,14.847,0.002,13.822,0.010,13.341,0.012,13.296,0.015,13.229,0.026,13.229,0.034,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-3.270,2.500,-0.890,1.010,92,U
2M08521181+1159517,133.04924,11.99771,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,15.984,0.003,14.809,0.001,14.437,0.001,14.298,0.001,14.264,0.001,13.462,0.024,13.210,0.027,13.087,0.028,13.058,0.025,13.052,0.033,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,6.830,0.090,99.999,9.999,99.999,9.999,-1,SN
2M08521269+1202592,133.05290,12.04979,99.999,9.999,15.283,0.012,14.617,0.019,99.999,9.999,13.883,0.010,16.243,0.003,14.935,0.001,14.450,0.001,14.260,0.001,14.172,0.001,13.313,0.024,12.915,0.029,12.798,0.028,12.788,0.026,12.791,0.029,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-15.960,0.090,-0.420,1.900,2.080,3.630,-1,SN
2M08501906+1202373,132.57942,12.04370,99.999,9.999,14.932,0.015,14.200,0.008,99.999,9.999,13.461,0.004,15.796,0.003,14.529,0.001,14.101,0.001,14.684,0.001,13.959,0.001,13.138,0.022,12.832,0.026,12.775,0.022,12.699,0.025,12.708,0.028,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-8.270,0.090,6.010,5.470,9.640,5.000,-1,SN
2M08520330+1158046,133.01376,11.96796,99.999,9.999,14.575,0.011,13.962,0.008,99.999,9.999,13.286,0.005,15.525,0.002,14.225,0.001,13.830,0.002,12.348,0.003,13.676,0.003,12.855,0.024,12.556,0.022,12.514,0.026,12.416,0.023,12.409,0.025,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,32.430,0.090,-1.010,2.320,1.670,3.510,-1,SM
2M08513806+1201243,132.90860,12.02342,99.999,9.999,13.541,0.002,12.948,0.006,99.999,9.999,12.268,0.001,14.533,0.004,13.311,0.006,12.852,0.013,99.999,9.999,12.639,0.049,11.844,0.020,11.551,0.023,11.495,0.022,11.444,0.023,11.460,0.022,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,31.780,0.090,-0.950,0.180,0.710,1.670,-1,SM
2M08512410+1201305,132.85046,12.02514,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,16.751,0.004,15.291,0.001,14.723,0.001,14.493,0.001,14.379,0.002,13.481,0.023,13.008,0.025,12.889,0.028,12.800,0.018,12.778,0.020,12.787,0.027,12.770,0.023,99.999,9.999,99.999,9.999,34.410,0.090,99.999,9.999,99.999,9.999,-1,BLM
2M08511298+1157009,132.80411,11.95026,15.235,0.018,15.104,0.008,14.441,0.004,99.999,9.999,13.709,0.000,16.063,0.003,14.715,0.001,14.253,0.001,14.099,0.001,14.063,0.001,13.238,0.023,12.919,0.024,12.847,0.025,12.803,0.017,12.792,0.023,12.783,0.022,12.799,0.022,99.999,9.999,99.999,9.999,33.410,0.090,-1.780,1.130,4.640,1.840,-1,SM
2M08513710+1154599,132.90462,11.91666,99.999,9.999,13.766,0.003,13.199,0.004,99.999,9.999,12.550,0.001,14.647,0.005,13.403,0.010,13.120,0.013,99.999,9.999,12.921,0.006,12.096,0.021,11.819,0.022,11.763,0.023,11.726,0.022,11.713,0.022,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,34.390,0.090,0.770,1.190,-1.310,0.710,-1,SM
2M08520153+1201036,133.00638,12.01768,99.999,9.999,15.295,0.006,14.426,0.007,99.999,9.999,13.488,0.016,16.660,0.004,14.874,0.001,14.205,0.001,13.951,0.001,13.829,0.001,12.872,0.022,12.402,0.022,12.327,0.025,12.267,0.024,12.277,0.025,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,14.230,0.090,3.450,0.540,0.180,2.740,-1,SN
2M08513190+1153328,132.88295,11.89246,99.999,9.999,16.254,0.002,15.429,0.004,99.999,9.999,14.547,0.006,17.585,0.007,15.827,0.005,15.181,0.005,14.951,0.005,14.875,0.008,13.901,0.012,13.511,0.008,13.439,0.012,13.257,0.026,13.385,0.034,13.349,0.061,13.354,0.039,99.999,9.999,99.999,9.999,32.650,0.090,1.130,0.950,0.120,0.890,-1,SM
2M08512239+1200182,132.84334,12.00507,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,20.532,0.040,17.952,0.003,16.480,0.002,15.585,0.001,15.093,0.002,13.817,0.015,13.291,0.014,13.027,0.016,12.805,0.020,12.723,0.021,12.676,0.025,12.742,0.023,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-1,U
2M08513284+1153447,132.88684,11.89576,99.999,9.999,15.930,0.005,15.155,0.005,99.999,9.999,14.328,0.009,17.123,0.008,15.519,0.004,14.931,0.005,14.732,0.004,14.667,0.007,13.729,0.030,13.376,0.028,13.341,0.034,13.237,0.026,13.266,0.033,99.999,9.999,13.253,0.034,99.999,9.999,99.999,9.999,33.090,0.090,-0.180,0.540,0.000,1.010,-1,SM
2M08520041+1156070,133.00171,11.93530,15.156,0.029,14.993,0.012,14.332,0.010,99.999,9.999,13.617,0.007,15.973,0.003,14.607,0.001,14.167,0.001,14.017,0.001,13.983,0.001,13.144,0.022,12.820,0.024,12.789,0.025,12.749,0.024,12.763,0.028,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,33.270,0.090,1.960,1.780,-2.920,1.550,-1,SM
2M08511826+1150196,132.82610,11.83879,15.050,0.023,14.935,0.006,14.285,0.005,13.914,0.013,13.547,0.001,15.867,0.008,14.554,0.003,14.103,0.005,13.951,0.007,13.894,0.004,13.042,0.033,12.680,0.036,12.592,0.033,12.516,0.019,12.514,0.023,12.511,0.022,12.519,0.019,99.999,9.999,99.999,9.999,33.470,0.090,1.370,1.490,-0.360,0.060,-1,BLM
2M08512526+1148135,132.85529,11.80375,15.104,0.033,14.878,0.005,14.177,0.001,13.772,0.010,13.386,0.006,16.466,0.003,14.939,0.001,16.067,0.002,14.240,0.001,14.189,0.001,12.839,0.022,12.518,0.020,12.380,0.020,12.333,0.022,12.392,0.022,12.360,0.023,12.373,0.019,99.999,9.999,99.999,9.999,33.700,0.090,-0.300,0.950,-0.420,0.710,-1,BM
2M08511710+1148160,132.82126,11.80446,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,16.411,0.007,14.049,0.010,13.201,0.003,12.244,0.007,12.141,0.004,8.140,0.027,7.526,0.018,7.385,0.021,7.271,0.027,7.390,0.020,99.999,9.999,99.999,9.999,7.307,0.016,99.999,9.999,34.540,0.090,99.999,9.999,99.999,9.999,-1,SM
2M08505902+1148291,132.74596,11.80809,99.999,9.999,17.084,0.004,16.137,0.011,99.999,9.999,15.059,0.007,18.815,0.015,16.675,0.004,15.828,0.008,15.540,0.006,15.363,0.003,14.299,0.011,13.778,0.010,13.713,0.017,13.586,0.018,13.512,0.045,13.536,0.033,13.527,0.057,99.999,9.999,99.999,9.999,29.520,0.090,0.180,1.070,1.130,2.080,-1,U
2M08511840+1141041,132.82668,11.68449,19.151,0.057,18.051,0.013,16.704,0.009,99.999,9.999,15.240,0.006,20.011,0.025,17.510,0.010,16.296,0.007,15.809,0.008,15.431,0.019,14.346,0.016,13.734,0.013,13.548,0.019,13.463,0.017,13.482,0.023,13.456,0.031,13.446,0.029,99.999,9.999,99.999,9.999,99.999,9.999,-0.180,1.550,-1.190,1.900,93,U
2M08512003+1151016,132.83350,11.85046,15.093,0.033,14.978,0.014,14.303,0.008,99.999,9.999,13.545,0.013,15.926,0.003,14.572,0.004,14.119,0.006,13.975,0.004,13.941,0.001,13.133,0.023,12.810,0.023,12.763,0.025,12.708,0.018,12.711,0.020,12.691,0.024,12.687,0.021,99.999,9.999,99.999,9.999,35.070,0.090,99.999,9.999,99.999,9.999,-1,SM
2M08512804+1142347,132.86685,11.70966,99.999,9.999,20.327,0.075,18.576,0.020,99.999,9.999,16.573,0.006,21.920,0.091,19.516,0.008,18.046,0.004,17.207,0.003,16.751,0.005,15.502,0.015,14.846,0.013,14.564,0.018,14.408,0.031,14.379,0.032,14.225,0.054,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-1.130,0.710,-1.490,2.620,72,U
2M08505320+1140071,132.72169,11.66867,99.999,9.999,20.955,0.092,19.136,0.035,99.999,9.999,16.969,0.032,99.999,9.999,20.059,0.037,18.620,0.025,17.668,0.021,17.172,0.024,15.861,0.016,15.245,0.016,14.947,0.021,14.748,0.030,99.999,9.999,14.562,0.078,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-2.800,5.530,-5.120,6.660,42,U
2M08521641+1152402,133.06842,11.87786,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,14.892,0.007,13.830,0.004,13.539,0.003,13.506,0.015,13.415,0.012,12.592,0.024,12.297,0.030,12.273,0.018,12.254,0.024,12.252,0.025,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-11.440,0.090,99.999,9.999,99.999,9.999,-1,U
2M08511564+1150561,132.81517,11.84893,14.310,0.028,13.869,0.020,13.015,0.011,99.999,9.999,12.098,0.012,15.108,0.005,13.375,0.006,14.326,0.007,14.917,0.008,12.441,0.006,11.485,0.022,11.094,0.019,11.013,0.018,10.938,0.014,10.971,0.017,10.929,0.015,10.919,0.014,99.999,9.999,99.999,9.999,33.290,0.090,99.999,9.999,99.999,9.999,-1,SM
2M08511901+1150057,132.82924,11.83492,13.197,0.021,13.147,0.009,12.533,0.005,12.177,0.010,11.870,0.007,14.013,0.004,99.999,9.999,99.999,9.999,99.999,9.999,12.243,0.007,11.428,0.022,11.155,0.022,11.106,0.020,11.042,0.013,11.035,0.017,10.998,0.018,11.008,0.012,99.999,9.999,99.999,9.999,34.130,0.090,-0.590,0.830,1.070,1.550,-1,BM
2M08501827+1155212,132.57616,11.92257,99.999,9.999,10.969,0.014,9.839,0.019,99.999,9.999,8.730,0.026,14.910,0.001,14.258,0.002,12.975,0.001,12.797,0.001,12.251,0.001,8.087,0.020,7.531,0.022,7.423,0.022,7.345,0.026,7.424,0.021,99.999,9.999,99.999,9.999,7.355,0.017,99.999,9.999,44.750,0.090,-1.490,1.960,-2.560,5.470,-1,SN
2M08513673+1149590,132.90306,11.83306,16.890,0.055,16.378,0.014,15.530,0.007,99.999,9.999,14.628,0.001,17.694,0.011,15.915,0.007,15.254,0.008,15.037,0.006,14.949,0.014,13.964,0.012,13.537,0.012,13.503,0.013,13.494,0.049,13.486,0.058,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,33.660,0.090,0.540,2.020,0.540,0.770,-1,SM
2M08514234+1150076,132.92642,11.83545,99.999,9.999,12.655,0.011,11.598,0.008,99.999,9.999,10.549,0.006,15.027,0.001,12.251,0.004,12.434,0.003,12.386,0.003,12.681,0.005,9.829,0.022,9.339,0.023,9.187,0.017,9.072,0.023,9.144,0.020,99.999,9.999,99.999,9.999,9.121,0.031,99.999,9.999,34.030,0.090,1.250,2.860,-0.240,3.870,-1,SM
2M08510714+1135486,132.77975,11.59684,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,15.852,0.002,14.653,0.002,14.085,0.005,14.078,0.002,14.002,0.001,13.023,0.023,12.719,0.026,12.672,0.023,12.620,0.017,12.605,0.024,12.589,0.022,12.632,0.026,99.999,9.999,99.999,9.999,33.680,0.090,10.950,4.940,99.999,9.999,-1,SM
2M08504802+1149414,132.70010,11.82819,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,16.211,0.004,14.814,0.001,14.342,0.001,14.178,0.001,14.136,0.001,13.280,0.024,12.944,0.023,12.830,0.022,12.816,0.023,12.819,0.030,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,32.840,0.090,99.999,9.999,99.999,9.999,-1,SM
2M08511242+1147061,132.80177,11.78505,99.999,9.999,19.151,0.020,17.688,0.009,99.999,9.999,16.045,0.001,21.118,0.076,18.508,0.011,17.191,0.007,16.579,0.008,16.213,0.014,15.004,0.013,14.357,0.012,14.153,0.016,14.045,0.017,14.053,0.029,13.992,0.038,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-0.420,4.880,1.070,3.750,84,U
2M08511773+1146546,132.82390,11.78184,99.999,9.999,16.833,0.007,15.773,0.011,99.999,9.999,14.633,0.008,18.662,0.012,16.333,0.005,15.383,0.005,15.066,0.007,14.909,0.008,13.824,0.012,13.290,0.010,13.191,0.014,13.147,0.017,13.161,0.024,13.112,0.026,13.101,0.025,99.999,9.999,99.999,9.999,33.490,0.090,-0.120,1.960,-0.590,0.950,-1,U
2M08515852+1146529,132.99385,11.78138,99.999,9.999,13.031,0.009,12.427,0.000,99.999,9.999,11.721,0.015,13.936,0.009,99.999,9.999,99.999,9.999,99.999,9.999,12.131,0.015,11.264,0.021,10.988,0.023,10.907,0.018,10.832,0.023,10.834,0.021,99.999,9.999,99.999,9.999,10.687,0.094,99.999,9.999,36.990,0.090,-5.770,0.120,7.620,0.480,-1,SN
2M08513365+1138336,132.89023,11.64267,17.961,0.038,17.158,0.003,16.121,0.011,99.999,9.999,14.911,0.001,18.873,0.012,16.723,0.002,15.813,0.001,15.457,0.001,15.264,0.002,14.167,0.016,13.581,0.019,13.466,0.016,13.455,0.026,13.445,0.037,99.999,9.999,13.383,0.046,99.999,9.999,99.999,9.999,87.230,0.090,-3.510,0.890,7.440,1.130,-1,BLN
2M08513257+1148240,132.88571,11.80669,14.861,0.038,14.795,0.005,14.171,0.006,99.999,9.999,13.482,0.002,16.156,0.002,14.773,0.001,15.525,0.001,14.294,0.001,14.223,0.001,13.008,0.023,12.697,0.024,12.638,0.024,12.581,0.023,12.605,0.028,99.999,9.999,12.661,0.028,99.999,9.999,99.999,9.999,34.190,0.090,1.130,0.300,-1.550,1.310,-1,SM
2M08511904+1140156,132.82936,11.67102,14.333,0.053,14.268,0.006,13.661,0.007,99.999,9.999,13.009,0.003,15.157,0.011,13.933,0.011,99.999,9.999,99.999,9.999,13.468,0.009,12.638,0.022,12.376,0.022,12.337,0.024,12.276,0.017,12.271,0.021,12.256,0.019,12.259,0.014,99.999,9.999,99.999,9.999,32.860,0.090,-3.810,2.560,1.310,1.960,-1,SM
2M08505336+1148573,132.72235,11.81594,16.268,0.051,15.893,0.010,15.149,0.010,99.999,9.999,14.331,0.006,17.068,0.005,15.500,0.001,14.933,0.001,14.742,0.001,14.679,0.002,13.760,0.031,13.330,0.029,13.330,0.036,13.151,0.025,13.137,0.034,13.201,0.043,99.999,9.999,99.999,9.999,99.999,9.999,34.330,0.090,1.670,0.950,-1.780,2.920,-1,SM
2M08514465+1141510,132.93607,11.69751,99.999,9.999,13.827,0.012,13.188,0.019,99.999,9.999,12.516,0.007,14.643,0.009,99.999,9.999,99.999,9.999,99.999,9.999,12.959,0.012,12.120,0.022,11.887,0.022,11.802,0.020,11.781,0.023,11.801,0.023,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,32.340,0.090,-0.890,2.620,2.980,1.310,-1,SM
2M08511269+1152423,132.80290,11.87844,99.999,9.999,11.589,0.025,10.462,0.019,99.999,9.999,9.406,0.005,15.080,0.001,14.314,0.005,13.483,0.004,13.205,0.003,12.598,0.003,8.650,0.018,8.122,0.018,7.976,0.018,7.914,0.016,7.992,0.019,7.936,0.009,7.888,0.008,7.916,0.019,99.999,9.999,33.970,0.090,1.130,1.010,-2.320,1.430,-1,SM
2M08512988+1150228,132.87451,11.83968,15.461,0.042,15.139,0.003,14.379,0.002,13.977,0.011,13.556,0.001,16.260,0.007,14.711,0.006,14.148,0.005,13.959,0.006,13.897,0.006,12.983,0.023,12.600,0.023,12.546,0.020,12.482,0.036,12.468,0.030,12.473,0.034,12.431,0.019,99.999,9.999,99.999,9.999,33.110,0.090,-0.120,1.190,-0.060,1.490,-1,BM
2M08511176+1150018,132.79904,11.83384,17.138,0.033,16.359,0.005,15.400,0.004,14.879,0.028,14.361,0.000,17.908,0.010,15.869,0.004,15.061,0.005,14.804,0.005,14.661,0.006,13.665,0.023,13.120,0.024,13.031,0.028,12.952,0.018,12.987,0.024,12.950,0.023,12.910,0.024,99.999,9.999,99.999,9.999,33.490,0.090,0.540,0.890,-2.140,1.310,-1,SM
2M08512436+1149504,132.85153,11.83068,99.999,9.999,15.848,0.006,15.055,0.010,14.614,0.019,14.263,0.005,16.979,0.011,15.409,0.007,14.856,0.004,14.656,0.007,14.583,0.013,13.593,0.032,13.277,0.035,13.202,0.039,13.002,0.051,13.023,0.055,13.117,0.030,13.041,0.027,99.999,9.999,99.999,9.999,33.900,0.090,0.650,3.990,-2.500,1.780,-1,BLM
2M08512214+1148278,132.84225,11.80774,99.999,9.999,16.572,0.004,15.694,0.005,99.999,9.999,14.705,0.001,18.035,0.011,16.135,0.004,15.408,0.006,15.142,0.009,14.998,0.006,13.963,0.011,13.485,0.012,13.433,0.013,13.352,0.020,13.334,0.024,13.323,0.031,13.302,0.031,99.999,9.999,99.999,9.999,36.900,0.090,-1.610,1.610,-1.010,1.550,-1,U
