Name,ID,GaiaDR3,inrt,Prob,RA_ICRS,DE_ICRS,RA_ICRS,DE_ICRS
"NGC_2168",4511,3425501538301403904,1,0.54666101,92.36889633,23.97960126,92.36889633287,23.97960126483
"NGC_2168",4511,3425501954915798784,1,0.60165205,92.37164018,24.01173745,92.37164018391,24.01173745393
"NGC_2168",4511,3425503153209105408,0,0.49196387,92.24143884,24.0035191,92.24143884339,24.00351910108
"NGC_2168",4511,3425503363665127040,1,0.69218579,92.19319154,23.96748511,92.19319154244,23.96748510898
"NGC_2168",4511,3425503363665127296,1,0.65276109,92.18933937,23.96990333,92.18933937108,23.96990333255
"NGC_2168",4511,3425503702964919168,1,0.69231261,92.14847567,24.00352741,92.1484756727,24.00352741489
"NGC_2168",4511,3425503741622243072,1,0.70166279,92.20347656,23.98276759,92.20347655992,23.98276759187
"NGC_2168",4511,3425503737324659712,1,0.72462521,92.19059371,23.97689162,92.1905937071,23.97689162046
"NGC_2168",4511,3425504360097512704,0,0.40392965,92.27551465,23.98246732,92.27551464737,23.98246732007
"NGC_2168",4511,3425505768846775552,1,0.63216546,92.22192189,24.06876673,92.22192188936,24.06876673124
"NGC_2168",4511,3425505798908955904,1,0.64059249,92.23417227,24.05855246,92.23417226856,24.05855245887
"NGC_2168",4511,3425506765279158912,1,0.5760094,92.43445428,24.00401366,92.43445427791,24.00401366109
"NGC_2168",4511,3425506799638890368,1,0.56929721,92.45428632,24.01382654,92.45428631581,24.01382653996
"NGC_2168",4511,3425506799636627584,1,0.5251292,92.44184921,24.00945256,92.44184921159,24.00945256189
"NGC_2168",4511,3425507418114160896,1,0.63713322,92.48551365,24.0610364,92.48551364664,24.06103640019
"NGC_2168",4511,3425507967869993856,1,0.82888814,92.40488621,24.06072965,92.4048862068,24.06072964679
"NGC_2168",4511,3425508414546577408,1,0.67842727,92.44043792,24.08850768,92.44043791625,24.08850767586
"NGC_2168",4511,3425509239180261376,1,0.7146567,92.58962311,24.09908392,92.58962311051,24.09908392331
"NGC_2168",4511,3425509548417900032,1,0.84018907,92.58147628,24.13445536,92.58147628066,24.13445535579
"NGC_2168",4511,3425509544120432384,1,0.63680182,92.57916396,24.13825933,92.57916396257,24.13825933469
"NGC_2168",4511,3425509720216584832,1,0.70067453,92.58163424,24.16328311,92.58163424495,24.1632831123
"NGC_2168",4511,3425509818998341376,1,0.87592716,92.51322895,24.11403549,92.51322895357,24.11403548933
"NGC_2168",4511,3425510334394414464,1,0.69350964,92.55130957,24.1415581,92.55130956883,24.14155809742
"NGC_2168",4511,3425510510490565248,1,0.81564825,92.57365022,24.1756599,92.57365022345,24.17565990104
"NGC_2168",4511,3425510579210039296,1,0.53005492,92.5688375,24.19070288,92.56883749872,24.19070287614
"NGC_2168",4511,3425510677991795968,1,0.63770716,92.52079029,24.1773518,92.52079029103,24.17735180162
"NGC_2168",4511,3425510751008737920,1,0.7434185,92.54615592,24.1893211,92.54615591603,24.18932109901
"NGC_2168",4511,3425510957167241088,1,0.67777325,92.35564998,24.06770028,92.35564997513,24.06770027955
"NGC_2168",4511,3425511025886704256,1,0.92029414,92.39584778,24.08346964,92.39584777573,24.0834696363
"NGC_2168",4511,3425511335124344832,1,0.9524907,92.38010943,24.11741293,92.38010942933,24.11741292658
"NGC_2168",4511,3425511506923033344,1,0.78479436,92.40917743,24.10799932,92.40917742842,24.10799932327
"NGC_2168",4511,3425511743143688832,1,0.72415791,92.40811335,24.1306744,92.40811334912,24.13067440061
"NGC_2168",4511,3425511777503426432,1,0.70959111,92.37861286,24.13603076,92.37861285563,24.13603075723
"NGC_2168",4511,3425511919241092480,1,0.88257853,92.41239008,24.15729132,92.41239008337,24.15729131995
"NGC_2168",4511,3425512743873602176,1,1.0,92.38293579,24.17735644,92.38293578998,24.17735643946
"NGC_2168",4511,3425512778233338112,1,0.93774533,92.39639091,24.17835474,92.3963909111,24.17835473968
"NGC_2168",4511,3425512808297968896,1,0.74266387,92.34765567,24.16225897,92.34765567238,24.16225897186
"NGC_2168",4511,3425512846952824960,1,0.73805993,92.35704783,24.16869144,92.35704782544,24.16869144346
"NGC_2168",4511,3425512915672953728,1,1.0,92.35989232,24.18526858,92.35989232155,24.18526857649
"NGC_2168",4511,3425512911374788992,0,0.36498197,92.34796852,24.1891969,92.34796851745,24.18919690492
"NGC_2168",4511,3425513224909920000,1,0.88293842,92.48888376,24.15888525,92.4888837554,24.15888525357
"NGC_2168",4511,3425513362348884992,1,1.0,92.44164453,24.15937692,92.44164452996,24.15937692146
"NGC_2168",4511,3425513843385190528,1,0.93012934,92.52259365,24.21135462,92.52259365495,24.21135462456
