Name,ID,GaiaDR3,inrt,Prob,RA_ICRS,DE_ICRS,RA_ICRS,DE_ICRS
"Melotte_25",4424,11771719380131328,0,0.24532316,52.96430982,8.95858728,52.96430982333,8.95858727948
"Melotte_25",4424,38354680725946240,0,0.3932407,58.75660281,12.48554076,58.75660281,12.48554075907
"Melotte_25",4424,38670343642226816,0,0.42271809,58.44439928,13.39192481,58.44439927954,13.39192481012
"Melotte_25",4424,38929141191925760,1,0.60345234,60.18788343,13.90626144,60.1878834349,13.9062614357
"Melotte_25",4424,39163474607448192,1,0.56553663,60.24846451,14.34586486,60.24846451095,14.34586486147
"Melotte_25",4424,40010820115615360,0,0.27916271,59.3435342,14.97244552,59.34353419675,14.97244552349
"Melotte_25",4424,40470720915966208,1,0.50759621,58.72237234,16.31552083,58.72237234099,16.31552082894
"Melotte_25",4424,42947680095257344,0,0.25805172,56.74918098,15.40457899,56.74918097647,15.40457898539
"Melotte_25",4424,43538293935879680,0,0.49871253,58.7777751,16.99836889,58.77777509782,16.99836888503
"Melotte_25",4424,43789772861265792,1,0.51876057,57.60462004,17.24640938,57.60462004192,17.24640938414
"Melotte_25",4424,44052178182130816,0,0.36627833,55.51918508,16.42165182,55.51918507808,16.42165182132
"Melotte_25",4424,44894472808190720,0,0.43073184,55.4819398,18.75980925,55.48193979938,18.75980924518
"Melotte_25",4424,45159901786885632,1,0.71539634,61.75568096,15.33494143,61.7556809615,15.33494142617
"Melotte_25",4424,45293526808851200,1,0.69784454,62.86573746,15.99206481,62.86573746488,15.99206481231
"Melotte_25",4424,45367056650753280,1,0.71279872,61.56774807,15.69803286,61.56774806807,15.69803286213
"Melotte_25",4424,45567511362945152,1,0.67903774,61.93056278,16.51867915,61.93056278229,16.51867914557
"Melotte_25",4424,45679386670867584,0,0.44346257,63.0912686,16.25080757,63.09126859925,16.25080756681
"Melotte_25",4424,45770783575075968,1,0.99549716,63.89569437,16.76228774,63.8956943695,16.76228774408
"Melotte_25",4424,45788547559850496,1,1.0,64.41279837,16.94772397,64.41279837487,16.94772397451
"Melotte_25",4424,45845378567048320,1,0.89124257,64.00659616,16.9829642,64.00659615536,16.98296420389
"Melotte_25",4424,45968901826385024,1,0.56121779,62.0468944,16.8729573,62.04689440191,16.87295729911
"Melotte_25",4424,46056862756712320,0,0.26922074,63.63096423,17.33957606,63.63096422746,17.33957605806
"Melotte_25",4424,46106581298385280,1,0.55226693,63.03229574,17.62601324,63.03229573837,17.62601323995
"Melotte_25",4424,46458115782368384,1,0.63968581,59.81320822,16.66430695,59.81320822011,16.66430695266
"Melotte_25",4424,46498282316394240,0,0.25763763,59.92594337,16.94063333,59.92594336937,16.94063332709
"Melotte_25",4424,46975436002187136,1,0.6106616,62.677081,18.42311655,62.67708099719,18.42311654706
"Melotte_25",4424,47019347749289216,1,0.59870455,61.41591188,17.93759007,61.41591188182,17.93759007273
"Melotte_25",4424,47068207297219584,1,0.52410986,61.5100426,18.25075677,61.51004260454,18.25075677203
"Melotte_25",4424,47109438983082496,1,0.67775128,60.72188036,18.40717598,60.72188035527,18.4071759849
"Melotte_25",4424,47319858019739264,0,0.26674091,64.59216619,17.42141528,64.59216618931,17.42141527574
"Melotte_25",4424,47319961098840192,1,0.90548398,64.53807309,17.41613014,64.53807309193,17.41613013891
"Melotte_25",4424,47345009348203392,1,0.96924763,64.78389361,17.52463051,64.78389360834,17.52463051305
"Melotte_25",4424,47485609397541632,1,0.76248211,65.66541825,18.26917946,65.66541825181,18.26917946071
"Melotte_25",4424,47541100375011968,1,0.91359113,65.38496943,18.41744025,65.38496942726,18.41744025238
"Melotte_25",4424,47620265212420096,1,0.97885564,64.50818561,18.25666556,64.50818560843,18.25666555567
"Melotte_25",4424,47715063730746880,1,0.97352635,64.64158212,18.36458359,64.64158211987,18.36458359058
"Melotte_25",4424,47729215646206080,1,0.97885564,64.46150286,18.47505354,64.46150286123,18.47505354496
"Melotte_25",4424,47752481485851136,1,0.54544883,65.1051418,18.74248854,65.10514180468,18.74248853644
"Melotte_25",4424,47760521664503296,1,0.65661593,65.11560537,18.89705577,65.11560537191,18.89705576636
"Melotte_25",4424,47803952373768960,1,0.74506713,64.01545924,18.85907583,64.01545924156,18.85907582958
"Melotte_25",4424,47804394753757056,1,0.64768104,64.05523411,18.88436234,64.05523411213,18.88436233698
"Melotte_25",4424,47813504381625088,1,0.92524361,64.35533003,19.02977586,64.35533003429,19.02977586059
"Melotte_25",4424,47917511308704128,0,0.3989648,66.42470185,19.01309758,66.42470185058,19.01309757742
"Melotte_25",4424,47917816253918720,1,0.58582789,66.31113668,18.97345597,66.31113667577,18.97345597293
"Melotte_25",4424,47959705067457152,0,0.45477189,66.12800628,18.98678698,66.12800628156,18.98678698271
"Melotte_25",4424,47965443143743488,1,0.74622236,66.23851281,19.04185484,66.23851281427,19.04185483626
"Melotte_25",4424,48000730596272128,1,0.51085571,66.98692335,19.06069583,66.98692335284,19.06069583093
"Melotte_25",4424,48026706558487040,1,0.9518281,67.15467371,19.18027332,67.15467370963,19.18027331731
"Melotte_25",4424,48048902948906368,1,0.64413573,66.90245867,19.44576744,66.90245867179,19.44576744129
"Melotte_25",4424,48061409893621248,1,0.76226538,67.15555279,19.7405199,67.15555278723,19.74051990049
"Melotte_25",4424,48197783694869760,0,0.45262125,65.84566931,19.65853135,65.84566930783,19.65853135057
"Melotte_25",4424,48203487411427456,1,0.94444849,65.05456696,19.23332103,65.05456696075,19.23332102777
"Melotte_25",4424,48455894049191424,1,0.86345736,63.62480502,18.72988135,63.62480502361,18.72988134695
"Melotte_25",4424,48482454126911360,1,0.70827262,63.68892769,19.06383619,63.68892769221,19.06383619142
"Melotte_25",4424,48509186003340416,1,0.68641514,62.77605962,18.92896363,62.77605961674,18.92896362862
"Melotte_25",4424,48977371798954368,1,0.79508281,64.76349609,19.54416508,64.76349608729,19.54416507668
"Melotte_25",4424,49005581144118784,1,0.81960022,64.74209417,19.90653885,64.74209416547,19.90653885437
