source_id,Sdss_mag_u,Sdss_mag_g,Sdss_mag_r,Sdss_mag_i,Sdss_mag_z,Sdss_flux_u,Sdss_flux_g,Sdss_flux_r,Sdss_flux_i,Sdss_flux_z,Sdss_flux_error_u,Sdss_flux_error_g,Sdss_flux_error_r,Sdss_flux_error_i,Sdss_flux_error_z,Jkc_mag_U,Jkc_mag_B,Jkc_mag_V,Jkc_mag_R,Jkc_mag_I,Jkc_flux_U,Jkc_flux_B,Jkc_flux_V,Jkc_flux_R,Jkc_flux_I,Jkc_flux_error_U,Jkc_flux_error_B,Jkc_flux_error_V,Jkc_flux_error_R,Jkc_flux_error_I,Sdss_mag_u_err,Sdss_mag_g_err,Sdss_mag_r_err,Sdss_mag_i_err,Sdss_mag_z_err,Jkc_mag_U_err,Jkc_mag_B_err,Jkc_mag_V_err,Jkc_mag_R_err,Jkc_mag_I_err,2Mass Name,Wise_Id_x,Wise_Id_y,ra,dec,J_mag,J_err,H_mag,H_err,K_mag,K_err,B1_mag,B1_err,B2_mag,B2_err,B3_mag,B3_err,B4_mag,B4_err
6.04923126912958e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513331+1154439,J085133.30+115443.9,J085133.32+115444.1,132.8888545,11.9122599,15.656,0.057,15.109,0.077,14.827,0.088,13.53,0.02,13.619,0.049,11.995,,8.455,
6.049182821900436e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513364+1151449,J085133.64+115144.9,J085133.65+115144.9,132.8902206,11.8624919,12.026,0.022,11.719,0.02,11.652,0.021,11.577,0.007,11.644,0.017,12.098,0.515,7.945,
6.049166329226171e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513411+1146557,J085134.11+114655.7,J085134.11+114655.7,132.8921658,11.7821543,13.004,0.022,12.75,0.022,12.682,0.023,12.564,0.008,12.678,0.027,11.479,,9.754,
6.048968374176078e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513444+1137574,J085134.44+113757.3,J085134.44+113757.4,132.8935285,11.6326169,12.102,0.021,11.864,0.022,11.778,0.021,11.724,0.007,11.79,0.013,11.349,0.261,8.053,
6.049170108797345e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513607+1147470,J085136.06+114747.0,J085136.07+114747.0,132.9003127,11.7964,13.216,0.022,12.921,0.024,12.844,0.025,12.786,0.009,12.887,0.043,11.553,,8.079,
6.04897219670463e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513615+1138562,J085136.15+113856.2,J085136.15+113856.3,132.9006479,11.6489757,12.785,0.022,12.522,0.024,12.452,0.023,12.4,0.009,12.45,0.016,12.043,0.484,8.492,0.526
6.049165642031373e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513724+1146557,J085137.24+114655.6,J085137.24+114655.6,132.9052072,11.7821384,12.785,0.021,12.459,0.023,12.422,0.023,12.396,0.016,12.525,0.051,11.983,0.458,8.226,
6.049236079492869e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513757+1156445,J085137.57+115644.5,J085137.57+115644.5,132.9065786,11.9457218,13.195,0.023,12.882,0.023,12.799,0.022,12.804,0.009,12.788,0.032,11.968,,8.405,
6.049483813206386e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513841+1202036,J085138.42+120203.6,J085138.42+120203.6,132.9101168,12.0343598,15.416,0.071,14.723,0.077,14.311,0.073,13.281,0.019,13.063,0.025,11.031,0.172,8.273,
6.049042977765517e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513873+1142373,J085138.73+114237.3,J085138.73+114237.3,132.9114046,11.7103873,12.971,0.023,12.73,0.024,12.648,0.025,12.586,0.009,12.589,0.022,12.125,,8.493,
